slug,name_ru,name_ro,muscle_ru,muscle_ro,location_ru,location_ro,symptoms_ru,symptoms_ro,treatment_ru,treatment_ro
tp-trapezius-1,Трапеция точка 1,Trapez punct 1,Трапециевидная мышца,Mușchiul trapez,Верхняя часть трапеции у основания шеи,Partea superioară a trapezului la baza gâtului,Головная боль в затылке и висках. Боль при повороте головы. Напряжение в шее.,Durere de cap în zona occipitală și temporală. Durere la rotirea capului. Tensiune în gât.,Глубокий массаж с постепенным усилением давления. Техника пинцетного захвата. Растяжка мышцы.,Masaj profund cu creștere graduală a presiunii. Tehnica de prindere în pensetă. Stretching muscular.
tp-trapezius-2,Трапеция точка 2,Trapez punct 2,Трапециевидная мышца,Mușchiul trapez,Средняя часть трапеции между лопатками,Partea mijlocie a trapezului între omoplați,Боль между лопатками. Ограничение подвижности плечевого пояса. Жжение в области лопаток.,Durere între omoplați. Limitarea mobilității centurii scapulare. Senzație de arsură în zona omoplatului.,Компрессия с удержанием 30-60 секунд. Миофасциальный релиз. Упражнения на вытяжение.,Compresie cu menținere 30-60 secunde. Eliberare miofascială. Exerciții de stretching.
tp-levator-scapulae,Мышца поднимающая лопатку,Mușchiul ridicător al omoplatului,Мышца поднимающая лопатку,Mușchiul levator scapulae,В углу между шеей и плечом,În colțul dintre gât și umăr,Боль в шее отдающая в плечо. Затруднение поворота головы в сторону. Скованность по утрам.,Durere cervicală care iradiază în umăr. Dificultate la rotirea capului lateral. Rigiditate dimineața.,Массаж точки под углом 45 градусов. Ишемическая компрессия. Растяжка с наклоном головы.,Masaj al punctului sub unghi de 45 de grade. Compresie ischemică. Stretching cu înclinarea capului.
tp-sternocleidomastoid,Грудино-ключично-сосцевидная,Sternocleidomastoidian,Грудино-ключично-сосцевидная мышца,Mușchiul sternocleidomastoidian,Боковая поверхность шеи от ключицы до сосцевидного отростка,Suprafața laterală a gâtului de la claviculă la procesul mastoidian,Головокружение. Нарушение равновесия. Головная боль в области лба. Боль в ухе.,Amețeli. Tulburări de echilibru. Durere de cap frontală. Durere de ureche.,Легкий массаж без глубокого давления. Техника поглаживания. Осторожные растяжки.,Masaj ușor fără presiune profundă. Tehnica de alinare. Stretching-uri precaute.
tp-infraspinatus,Подостная мышца,Infraspinos,Подостная мышца,Mușchiul infraspinatus,Задняя поверхность лопатки в подостной ямке,Suprafața posterioară a omoplatului în fosa infraspinată,Глубокая боль в плече. Боль при достижении назад. Нарушение сна при лежании на больной стороне.,Durere profundă în umăr. Durere la întinderea înapoi. Tulburări de somn când se culcă pe partea afectată.,Глубокий массаж вдоль волокон мышцы. Техника крючка. Упражнения на ротацию плеча.,Masaj profund de-a lungul fibrelor musculare. Tehnica de cârlig. Exerciții de rotație a umărului.
tp-subscapularis,Подлопаточная мышца,Subscapular,Подлопаточная мышца,Mușchiul subscapularis,Внутренняя поверхность лопатки,Suprafața internă a omoplatului,Ограничение отведения руки. Боль в задней части плеча. Замороженное плечо.,Limitarea abducției brațului. Durere în partea posterioară a umărului. Umăr înghețat.,Массаж через подмышечную впадину. Техника освобождения с ротацией руки. Мобилизация лопатки.,Masaj prin axilă. Tehnica de eliberare cu rotația brațului. Mobilizarea omoplatului.
tp-pectoralis-major,Большая грудная точка 1,Mare pectoral punct 1,Большая грудная мышца,Mușchiul pectoral mare,Верхняя часть груди у ключицы,Partea superioară a pieptului lângă claviculă,Боль в передней части плеча. Округление плеч вперед. Затруднение глубокого дыхания.,Durere în partea anterioară a umărului. Rotunjirea umerilor înainte. Dificultate la respirația profundă.,Растяжка в дверном проеме. Глубокий массаж вдоль ключицы. Пинцетный захват.,Stretching în cadrul ușii. Masaj profund de-a lungul claviculei. Prindere în pensetă.
tp-pectoralis-minor,Малая грудная,Mic pectoral,Малая грудная мышца,Mușchiul pectoral mic,Под большой грудной мышцей у 3-5 ребра,Sub mușchiul pectoral mare la costele 3-5,Онемение в руке. Боль под ключицей. Затруднение поднятия руки над головой.,Amorțeală în braț. Durere sub claviculă. Dificultate la ridicarea brațului deasupra capului.,Освобождение через компрессию над 3-5 ребром. Растяжка руки назад и вверх.,Eliberare prin compresie peste costele 3-5. Stretching al brațului înapoi și în sus.
tp-scalenes,Лестничные мышцы,Scaleni,Лестничные мышцы,Mușchii scaleni,Боковая поверхность шеи,Suprafața laterală a gâtului,Онемение в руке и пальцах. Боль отдающая по внутренней стороне руки. Затруднение дыхания.,Amorțeală în braț și degete. Durere care iradiază pe partea internă a brațului. Dificultate respiratorie.,Деликатный массаж боковой поверхности шеи. Избегать сосудов. Растяжка с наклоном головы в противоположную сторону.,Masaj delicat al suprafeței laterale a gâtului. Evitarea vaselor. Stretching cu înclinarea capului pe partea opusă.
tp-rhomboids,Ромбовидные мышцы,Romboidieni,Ромбовидные мышцы,Mușchii romboidieni,Между позвоночником и внутренним краем лопатки,Între coloana vertebrală și marginea internă a omoplatului,Боль между лопатками при длительном сидении. Ноющая боль в покое.,Durere între omoplați la ședere prelungită. Durere persistentă în repaus.,Компрессия мячом у стены. Массаж вдоль внутреннего края лопатки. Упражнения на сведение лопаток.,Compresie cu minge la perete. Masaj de-a lungul marginii interne a omoplatului. Exerciții de adducție a omoplatului.
tp-gluteus-medius,Средняя ягодичная,Gluteu mijlociu,Средняя ягодичная мышца,Mușchiul gluteu mediu,Верхняя боковая часть ягодицы,Partea laterală superioară a feselor,Боль в пояснице и бедре. Боль при ходьбе. Боль в положении лежа на боку.,Durere lombară și în șold. Durere la mers. Durere când stă culcat pe lateral.,Глубокий массаж в сторону от бедренной кости. Растяжка в положении лежа. Укрепляющие упражнения.,Masaj profund în direcția departe de femur. Stretching în poziție culcat. Exerciții de întărire.
tp-piriformis,Грушевидная мышца,Piriformis,Грушевидная мышца,Mușchiul piriformis,Глубоко в ягодице под большой ягодичной мышцей,Adânc în fesă sub mușchiul gluteu mare,Боль по ходу седалищного нерва. Боль при сидении. Онемение в ноге.,Durere de-a lungul nervului sciatic. Durere la ședere. Amorțeală în picior.,Глубокая компрессия в положении лежа. Растяжка с приведением колена к противоположному плечу. Расслабление через ротацию бедра.,Compresie profundă în poziție culcat. Stretching cu aducerea genunchiului la umărul opus. Relaxare prin rotația coapsei.
tp-quadratus-lumborum,Квадратная мышца поясницы,Pătrat lombar,Квадратная мышца поясницы,Mușchiul quadratus lumborum,Боковая часть поясницы между ребрами и тазом,Partea laterală a zonei lombare între coaste și bazin,Глубокая боль в пояснице. Боль при вставании из положения сидя. Боль при кашле.,Durere profundă lombară. Durere la ridicarea din șezând. Durere la tuse.,Массаж в положении на боку с согнутыми коленями. Компрессия с дыханием. Боковые растяжки.,Masaj în poziție laterală cu genunchii îndoiți. Compresie cu respirație. Stretching-uri laterale.
tp-masseter,Жевательная мышца,Maseter,Жевательная мышца,Mușchiul maseter,Угол нижней челюсти,Unghiul mandibulei,Боль в челюсти. Затруднение открывания рта. Зубная боль. Шум в ушах.,Durere mandibulară. Dificultate la deschiderea gurii. Durere dentară. Tinitus.,Внутриротовой и наружный массаж одновременно. Легкое растяжение челюсти. Релаксационные техники.,Masaj intraoral și extern simultan. Stretching ușor al mandibulei. Tehnici de relaxare.
tp-temporalis,Височная мышца,Temporal,Височная мышца,Mușchiul temporalis,Височная область головы,Regiunea temporală a capului,Головная боль в висках. Боль в верхних зубах. Чувствительность кожи головы.,Durere de cap temporală. Durere în dinții superiori. Sensibilitate a scalpului.,Поглаживающий массаж височной области. Легкая компрессия пальцами. Техники расслабления.,Masaj de alinare a regiunii temporale. Compresie ușoară cu degetele. Tehnici de relaxare.
